ID,Title,Ticket,Ticket ID,Created,Task Due,Event Start,Resp Group,Responsibility
7164196,STANDARD Video Recording,Carleton's A Drag Date Knight,27432993,2/6/25 17:29,,2/14/25 21:15,PEPS Students - CC,PEPS Students - CC
7164197,STANDARD Media Production TO DO,Carleton's A Drag Date Knight,27432993,2/6/25 17:29,,2/14/25 21:15,PEPS Students - CC,PEPS Students - CC
7163718,SETUP [FILL IN THE BLANK],1976 50th Reunion Committee Meeting,27430983,2/6/25 14:26,,4/4/25 8:00,PEPS Students - CC,PEPS Students - CC
7163719,STRIKE [FILL IN THE BLANK],1976 50th Reunion Committee Meeting,27430983,2/6/25 14:26,,4/4/25 8:00,PEPS Students - CC,PEPS Students - CC
7162696,SETUP [FILL IN THE BLANK],Palestine Exception Film Screening and Panel,27427315,2/6/25 10:31,,2/12/25 16:30,PEPS Students - CC,PEPS Students - CC
7162697,STRIKE [FILL IN THE BLANK],Palestine Exception Film Screening and Panel,27427315,2/6/25 10:31,,2/12/25 16:30,PEPS Students - CC,PEPS Students - CC
7161620,SETUP Great Hall Sound,Build-a-Buddy Bash,27422617,2/5/25 15:37,2/6/25 11:40,2/13/25 12:00,PEPS Students - CC,PEPS Students - CC
7161621,STRIKE Great Hall Sound,Build-a-Buddy Bash,27422617,2/5/25 15:37,2/6/25 13:30,2/13/25 12:00,PEPS Students - CC,PEPS Students - CC
7160983,STANDARD Video Recording,"Literature of the Polygon: A Woman’s Account of Nuclear Testing in Kazakhstan - A talk by Diane Nemec Ignashev, Class of 1941 Professor of Russian and the Liberal Arts, Emerita, in celebration of her retirement",27411754,2/5/25 13:29,2/28/25 16:10,2/28/25 16:30,PEPS Students - CC,Brian Thevenot
7160984,STANDARD Media Production TO DO,"Literature of the Polygon: A Woman’s Account of Nuclear Testing in Kazakhstan - A talk by Diane Nemec Ignashev, Class of 1941 Professor of Russian and the Liberal Arts, Emerita, in celebration of her retirement",27411754,2/5/25 13:29,,2/28/25 16:30,PEPS Students - CC,PEPS Students - CC
7160755,SETUP [FILL IN THE BLANK],Epic Enterprise Inc.,27419668,2/5/25 12:37,,2/20/25 8:00,PEPS Students - CC,PEPS Students - CC
7160756,STRIKE [FILL IN THE BLANK],Epic Enterprise Inc.,27419668,2/5/25 12:37,,2/20/25 8:00,PEPS Students - CC,PEPS Students - CC
7159667,Please engage in this webinar & write a short blogpost about Adobe University.,Adobe Univeristy Online Training,27415983,2/5/25 9:06,2/26/25 11:00,2/26/25 11:00,PEPS Students - CC,Lizzie Coy-Bjork
7157884,STRIKE Computer Monitor,[peps] Monitor Request for Office of Intercultural Life Black History Month,27378874,2/4/25 12:40,2/6/25 12:00,2/6/25 10:30,PEPS Students - CC,Joshua Lee
7157883,SETUP Computer Monitor w/Client Laptop,[peps] Monitor Request for Office of Intercultural Life Black History Month,27378874,2/4/25 12:40,2/6/25 10:00,2/6/25 10:30,PEPS Students - CC,Josh Madigan
7157846,CHECK-IN with Client,Date Knight 2025,27406884,2/4/25 12:34,2/14/25 18:45,2/14/25 18:00,PEPS Students - CC,PEPS Students - CC
7157828,SETUP Great Hall Projection + Sound,Date Knight 2025,27406884,2/4/25 12:31,2/14/25 14:00,2/14/25 18:00,PEPS Students - CC,PEPS Students - CC
7157829,STRIKE Great Hall Projection + Sound,Date Knight 2025,27406884,2/4/25 12:31,2/14/25 20:00,2/14/25 18:00,PEPS Students - CC,PEPS Students - CC
